timestamp,latitude,longitude,altitude,speed,battery,mission
1763730646942,47.3979,8.54616,12.001,0.0141421,50,None
1763730647142,47.3979,8.54616,11.996,0.01,50,None
1763730647342,47.3979,8.54616,11.993,0,50,None
1763730647542,47.3979,8.54616,11.991,0.01,50,None
1763730647742,47.3979,8.54616,11.992,0.0141421,50,None
1763730647942,47.3979,8.54616,11.994,0.0141421,50,None
1763730648143,47.3979,8.54616,11.997,0.02,50,None
1763730648343,47.3979,8.54616,12,0.01,50,None
1763730648543,47.3979,8.54616,12.002,0,50,None
1763730648743,47.3979,8.54616,12.002,0,50,None
1763730648943,47.3979,8.54616,12.001,0,50,None
1763730649143,47.3979,8.54616,11.999,0.01,50,None
1763730649343,47.3979,8.54616,11.997,0,50,None
1763730649543,47.3979,8.54616,11.997,0.01,50,None
1763730649744,47.3979,8.54616,11.996,0.01,50,None
1763730649944,47.3979,8.54616,11.998,0,50,None
1763730650144,47.3979,8.54616,12.001,0,50,None
1763730650344,47.3979,8.54616,12.002,0,50,None
1763730650544,47.3979,8.54616,12.003,0,50,None
1763730650744,47.3979,8.54616,12.002,0,50,None
1763730650944,47.3979,8.54616,12.001,0,50,None
1763730651144,47.3979,8.54616,12.001,0.01,50,None
1763730651344,47.3979,8.54616,12.001,0.01,50,None
1763730651545,47.3979,8.54616,12,0.01,50,None
1763730651745,47.3979,8.54616,11.997,0.01,50,None
1763730651945,47.3979,8.54616,11.996,0.0223607,50,None
1763730652145,47.3979,8.54616,11.996,0.02,50,None
1763730652345,47.3979,8.54616,11.998,0.02,50,None
1763730652545,47.3979,8.54616,11.998,0.0223607,50,None
1763730652745,47.3979,8.54616,11.997,0.0141421,50,None
1763730652945,47.3979,8.54616,11.992,0.0141421,50,None
1763730653146,47.3979,8.54616,11.987,0.01,50,None
1763730653346,47.3979,8.54616,11.985,0.0141421,50,None
1763730653546,47.3979,8.54616,11.987,0.0141421,50,None
1763730653746,47.3979,8.54616,11.989,0.0141421,50,None
1763730653946,47.3979,8.54616,11.991,0.0141421,50,None
1763730654146,47.3979,8.54616,11.993,0.0141421,50,None
1763730654346,47.3979,8.54616,11.994,0,50,None
1763730654546,47.3979,8.54616,11.994,0,50,None
1763730654746,47.3979,8.54616,11.996,0,50,None
